ShefId,StationName,StationId,StateCode,Elevation,DCO,ForecastGroup,Notes,SnowAnalysis
BISM8,Bisson Creek,346,MT,4920,Bozeman,PO_FLAT,,PO_FLAT
BLTM8,Blacktail Mtn,1144,MT,5650,Bozeman,PO_FLAT,,"PO_FLAT, PO_MAIN, UC_KOOT"
DPYM8,Dupuyer Creek,458,MT,5750,Bozeman,PO_FLAT,,NONE
EMCM8,Emery Creek,469,MT,4350,Bozeman,PO_FLAT,,PO_FLAT
FTMM8,Flattop Mtn.,482,MT,6300,Bozeman,PO_FLAT,,PO_FLAT
HANM8,Hand Creek,510,MT,5035,Bozeman,PO_FLAT,,"PO_FLAT, PO_MAIN, UC_KOOT"
KRCM8,Kraft Creek,562,MT,4750,Bozeman,PO_FLAT,,PO_FLAT
MANM8,Many Glacier,613,MT,4900,Bozeman,PO_FLAT,,PO_FLAT
MSPM8,Moss Peak,646,MT,6780,Bozeman,PO_FLAT,,PO_FLAT
MTKM8,Mount Lockhart,649,MT,6400,Bozeman,PO_FLAT,,PO_FLAT
NOIM8,Noisy Basin,664,MT,6040,Bozeman,PO_FLAT,,PO_FLAT
NFJM8,North Fork Jocko,667,MT,6330,Bozeman,PO_FLAT,,"PO_FLAT, PO_CLARK"
PICM8,Pike Creek,693,MT,5930,Bozeman,PO_FLAT,,PO_FLAT
SQPM8,Sleeping Woman,783,MT,6150,Bozeman,PO_FLAT,,"PO_FLAT, PO_CLARK"
CHUM8,Waldron,847,MT,5600,Bozeman,PO_FLAT,,NONE
WODM8,Wood Creek,876,MT,5960,Bozeman,PO_FLAT,,PO_FLAT
BRMI1,Bear Mountain,323,ID,5400,Boise,PO_MAIN,,"PO_MAIN, UC_KOOT, UC_SPOK"
BGMW1,Bunchgrass Mdw,376,WA,5000,Boise,PO_MAIN,,"PO_MAIN, UC_MAIN"
STZI1,Schweitzer Basin,738,ID,6090,Boise,PO_MAIN,Pond moved 2009,"PO_MAIN, UC_SPOK, UC_KOOT"
BANM8,Banfield Mountain,311,MT,5600,Bozeman,UC_KOOT,,UC_KOOT
GVRM8,Garver Creek,918,MT,4250,Bozeman,UC_KOOT,,UC_KOOT
GRCM8,Grave Creek,500,MT,4300,Bozeman,UC_KOOT,,"UC_KOOT, PO_FLAT"
HAWM8,Hawkins Lake,516,MT,6450,Bozeman,UC_KOOT,,UC_KOOT
HDLI1,Hidden Lake,988,ID,5040,Boise,UC_KOOT,,"UC_KOOT, PO_MAIN"
